ID,AUTHOR_ID,LINK,CONTENT,ZAN,ZHUANFA,PINGLUN,TIME
67,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499441678215976,"At least 1.2 million people died from infections caused by antimicrobial resistance globally in 2019, according to a new report published in the medical journal the Lancet.Bacteria that are resistant to antibiotics could become a “hidden pandemic,” if antibiotics are prescribed irresponsibly, health officials have warned. Pneumonia, sepsis, E. coli and MRSA were some of the infections and drug resistant bacteria that caused the most deaths.#CGTNAmerica",848,86,40,2022-01-21 01:28:47
68,1,https://www.facebook.com/watch/?v=390860512574325,"A volcano on Tonga's Hunga Ha'apai Island erupted on January 14, sending ash, steam and gas into the air. The China Center for Resources Satellite Data and Application shows images of the area before and after the volcanic eruption.收起",179,2871,5,2022-01-21 00:28:56
69,1,https://www.facebook.com/watch/?v=1010992556437905,"Chinese businessman Yu Hongtao is in Tonga. During his interview with CGTN, he said dust is everywhere on the island.""What I've seen so far is everyone is involved in emergency rescue and disaster relief operations,"" Yu said. ""Almost everyone is wearing a mask. Volcanic ash is on the streets because the ashfall lasted several hours. The ground is covered in ash, including vegetation and people's houses."" He said volunteers have also been clearing up the roads.收起",118,4750,3,2022-01-21 00:29:04
70,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499416174885193,"Energy costs are one of the major contributors, along with food, furniture, clothes and restaurant prices all adding to the fiscal pressure.",0,29,11,2022-01-21 00:29:15
71,1,https://www.facebook.com/cgtneuropeofficial/posts/299039298923289,"Energy costs are one of the major contributors, along with food, furniture, clothes and restaurant prices all adding to the fiscal pressure.",99,39,9,2022-01-20 13:29:24
72,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499414754885335, Watch CGTN News LIVE 24/7 ,72,1,0,2022-01-21 00:29:32
73,1,https://www.facebook.com/cgtneuropeofficial/posts/299066942253858, Watch CGTN News LIVE 24/7 ,7,2,0,2022-01-20 13:29:38
74,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499413904885420, Yoga classes in a museum or haircuts and nails done in a concert hall? ,94,2,0,2022-01-21 00:29:46
75,1,https://www.facebook.com/cgtneuropeofficial/posts/299373625556523, Yoga classes in a museum or haircuts and nails done in a concert hall? New government rules in The Netherlands are allowing gyms and hairdressers to re-open while Museums and Concert Halls have to stay shut due to COVID-19 restrictions.Here’s how people in the culture industry are protesting in Amsterdam PH:  REUTERS/Piroschka van de WouwRead more: https://newseu.cgtn.com/.../Dutch-theaters.../index.html,40,11,3,2022-01-20 22:29:53
76,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499413568218787, Breaking moos! A calf with two heads was recently born in India's northeastern Gomati district.The female calf has a medical condition called 'Polycephaly'. #Watch ,428,130,7,2022-01-21 00:30:04
77,1,https://www.facebook.com/watch/?v=5116498161702019, Breaking moos! A calf with two heads was recently born in India's northeastern Gomati district.…展开,147,0,13,2022-01-20 22:30:11
78,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499411308219013,  Hollywood star turned away from Venice hotel over vaccine pass British Medical Association warns Johnson about lifting restrictions Deaths pile up in RussiaRead the latest COVID-19 news here ,253,3,0,2022-01-21 00:30:19
79,1,https://www.facebook.com/cgtneuropeofficial/posts/299392938887925,  Hollywood star turned away from Venice hotel over vaccine pass British Medical Association warns Johnson about lifting restrictions Deaths pile up in RussiaRead the latest COVID-19 news here ,88,9,4,2022-01-20 22:30:25
80,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499410638219080,Gyms have been allowed to reopen but entertainment venues have been kept shut.,404,1,1,2022-01-21 00:30:31
81,1,https://www.facebook.com/cgtneuropeofficial/posts/299408968886322,Gyms have been allowed to reopen but entertainment venues have been kept shut.,126,5,12,2022-01-20 23:30:40
82,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499408751552602,"Chinese State Councilor and Foreign Minister Wang Yi held a video meeting with the newly-appointed German Foreign Minister Annalena Baerbock, on 20 January.Wang Yi said that China-Germany relations are tenacious and stable, characterised by cooperation.",229,3,7,2022-01-21 00:30:47
83,1,https://www.facebook.com/cgtneuropeofficial/posts/299424522218100,"Chinese State Councilor and Foreign Minister Wang Yi held a video meeting with the newly-appointed German Foreign Minister Annalena Baerbock, on 20 January.Wang Yi said that China-Germany relations are tenacious and stable, characterised by cooperation.The two sides also exchanged views on strengthening cooperation in multilateral affairs.PH: Alex Brandon/Pool via REUTERS",30,9,0,2022-01-20 23:30:52
84,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499408504885960,#WATCHNOW: We’re live in London with the latest on calls for the UK prime minister to resign.,48,0,1,2022-01-21 00:30:58
85,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499408281552649,  China-Pacific Island Emergency Supplies Reserve has started emergency supplies transfer to Tonga.,208,0,0,2022-01-21 00:31:04
86,1,https://www.facebook.com/cgtneuropeofficial/posts/299446268882592,"  China-Pacific Island Emergency Supplies Reserve has started emergency supplies transfer to Tonga. CGTN exclusive photos show emergency supplies including flashlights, mosquito nets, life jackets, moisture-proof blankets and epidemic prevention supplies. The reserve was established in Guangzhou on December 4, 2021.Read more: https://newseu.cgtn.com/.../All-1-000-Chinese.../index.html",28,7,0,2022-01-21 00:31:09
87,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499407914886019,#WATCHNOW: Teenage pilot Zara Rutherford completes solo round-world record.,40,1,1,2022-01-21 00:31:15
